TimeStamp; AccX(g); AccY(g); AccZ(g); GyrX(deg/s); GyrY(deg/s); GyrZ(deg/s); Lat; Long; VitGPS(km/h); Event
1668769389290;-0.4329708;-0.007077877;0.9555133;-4.07554;-1.991465;22.294125;43.78848077;4.831851125;7.669472;0
1668769389301;-0.13008648;0.043687582;0.8766804;-4.28554;-1.956465;20.579126;43.78848077;4.831851125;7.669472;0
1668769389311;-0.14399818;-0.011715106;0.93257123;-4.81054;-0.9764651;22.189125;43.78848077;4.831851125;7.669472;0
1668769389321;0.29897925;-0.014155753;0.9642996;-3.48054;0.38853502;22.539125;43.78848077;4.831851125;7.669472;0
1668769389331;0.37732401;-0.029287765;1.0472816;-3.86554;-5.071465;22.854126;43.78848077;4.831851125;7.669472;0
1668769389342;-0.7456176;0.004393165;1.0101838;-4.56554;-3.706465;21.944124;43.78848077;4.831851125;7.669472;0
1668769389350;-0.43541142;-0.056378942;1.2244725;-5.4405403;-3.6014647;23.449125;43.78848077;4.831851125;7.669472;0
1668769389360;-0.47617024;-0.11397822;1.0658306;-5.30054;1.893535;25.724125;43.78848077;4.831851125;7.669472;0
1668769389370;-0.1610827;-0.009518524;0.8168845;-2.74554;-0.80146503;23.169125;43.78848077;4.831851125;7.669472;0
1668769389380;-0.02709118;0.12349673;0.9174392;-2.7805402;-0.17146501;23.029125;43.78848077;4.831851125;7.669472;0
1668769389390;-0.07566006;0.05662301;1.052407;-4.84554;-5.141465;22.889126;43.78848077;4.831851125;7.669472;0
1668769389400;-0.14668287;-0.111049436;1.0402037;-5.93054;-0.66146505;22.259125;43.78848077;4.831851125;7.669472;0
1668769389410;0.49301073;-0.041979127;1.0919455;-3.97054;-4.091465;19.844126;43.78848077;4.831851125;7.669472;0
1668769389420;0.06662966;-0.20867532;0.9025513;-4.70554;-1.606465;20.369125;43.78848077;4.831851125;7.669472;0
1668769389432;-0.30044362;0.003905035;0.9584421;-2.0805402;-3.146465;21.699125;43.78848077;4.831851125;7.669472;0
1668769389441;-0.16474368;-0.01610827;1.0280005;-2.29054;-2.306465;22.119125;43.78848077;4.831851125;7.669472;0
1668769389450;-0.5781893;0.012447299;0.85764337;-3.83054;-0.76646507;23.099127;43.78848077;4.831851125;7.669472;0
1668769389460;0.099578395;-0.11446635;0.8788769;-3.23554;-2.971465;18.829124;43.78848077;4.831851125;7.669472;0
1668769389470;-0.17597064;0.045884162;0.8952293;-2.39554;-2.376465;20.264126;43.78848077;4.831851125;7.669472;0
1668769389481;0.012935429;-0.15302856;1.0023737;-4.3555403;-6.331465;17.464127;43.78848077;4.831851125;7.669472;0
1668769389490;0.051253587;-0.08469045;1.222276;-2.5355399;-10.671465;19.109125;43.78848077;4.831851125;7.669472;0
1668769389502;-0.34217873;-0.16962497;0.9574658;-3.09554;-6.331465;22.399126;43.78848077;4.831851125;7.669472;0
1668769389510;-0.40490335;-0.15888612;0.77197665;-2.22054;-8.396465;23.694124;43.78848077;4.831851125;7.669472;0
1668769389520;0.08615484;-0.10568002;0.9030394;-1.41554;-5.806465;20.439125;43.78848077;4.831851125;7.669472;0
1668769389530;0.57989776;-0.08908362;0.96918094;0.54446;-5.8764653;20.264126;43.78848077;4.831851125;7.669472;0
1668769389541;0.48275998;-0.18060787;0.90792066;-2.74554;-3.111465;25.234125;43.78848077;4.831851125;7.669472;0
1668769389550;-0.08883955;-0.29214546;0.9965161;-2.5355399;-4.336465;29.329126;43.78848077;4.831851125;7.669472;0
1668769389560;0.009518524;-0.23356992;0.86862624;0.85946006;-5.9814653;25.339125;43.78848077;4.831851125;7.669472;0
1668769389570;-0.09103613;-0.29214546;1.0201905;2.36446;-3.391465;22.749126;43.78848077;4.831851125;7.669472;0
1668769389580;0.5957619;-0.012691364;1.0382512;6.1444597;-1.676465;26.074125;43.78848077;4.831851125;7.669472;0
1668769389591;-0.3878188;-0.13325933;1.2706008;2.8194602;-0.101465;22.889126;43.78848077;4.831851125;7.669472;0
1668769389601;-0.5938094;-0.0946971;0.61626333;5.6894603;-2.201465;22.014126;43.78848077;4.831851125;7.669472;0
1668769389611;0.6824049;-0.22795644;0.8808295;4.18446;-7.836465;15.084125;43.78848077;4.831851125;7.669472;0
1668769389621;0.15937425;-0.21355662;1.3560234;6.4944596;1.823535;19.109125;43.78848077;4.831851125;7.669472;0
1668769389631;-0.042467255;-0.08688704;1.1607717;5.09446;-4.721465;22.329126;43.78848077;4.831851125;7.669472;0
1668769389642;-0.46250263;-0.1369203;0.8520299;5.54946;-9.516465;20.439125;43.78848077;4.831851125;7.669472;0
1668769389652;-0.29678267;0.050521392;0.8552027;6.8444605;-7.6264653;27.474125;43.78848077;4.831851125;7.669472;0
1668769389661;-0.31020623;-0.12642552;1.3328372;4.42946;-2.936465;27.404125;43.78848077;4.831851125;7.669472;0
1668769389671;0.042955387;0.030508086;0.93183905;6.17946;-0.696465;23.029125;43.78848077;4.831851125;7.669472;0
1668769389682;0.49154633;-0.020013304;0.9584421;6.7394605;-6.261465;12.564125;43.78848077;4.831851125;7.669472;0
1668769389691;0.48349217;-0.0954293;0.7409804;6.8444605;-1.676465;10.7091255;43.78848077;4.831851125;7.669472;0
1668769389701;-0.5003326;0.02709118;1.0438647;6.77446;-6.296465;11.129126;43.78848077;4.831851125;7.669472;0
