TimeStamp; AccX(g); AccY(g); AccZ(g); GyrX(deg/s); GyrY(deg/s); GyrZ(deg/s); Lat; Long; Alt; Bear; VitGPS(km/h); Azi; Pitch; Roll; Azi1; Pitch1; Roll1; gravX; gravY; gravZ; Event
1682615970454;0.009030394;-0.03124028;1.0692475;-2.92824;-1.952265;1.572515;45.76996013;4.856315697;234.3305546;270.20337;11.710283;-2.616072;0.029207721;-1.5792416;85.510704;0.15781343;188.97809;0.76759064;-0.02701105;9.776511;0
1682615970464;0.48080748;-7.32E-04;0.8815617;-2.8582401;-3.492265;1.467515;45.76996013;4.856315697;234.3305546;270.20337;11.710283;-1.8342577;7.29E-04;-2.0701044;85.558975;0.21149173;188.90198;0.75935084;-0.036198493;9.777121;0
1682615970474;0.17035717;0.04612823;0.92646956;-3.55824;3.3677351;2.132515;45.76996013;4.856315697;234.3305546;270.20337;11.710283;-1.9639499;-0.04892921;-1.7526428;85.98983;0.29330412;188.86897;0.68580467;-0.050201226;9.7824955;0
1682615970484;0.20013306;-0.049789198;0.9062122;-4.01324;4.802735;3.252515;45.76996013;4.856315697;234.3305546;270.20337;11.710283;-2.2076786;0.05359797;-1.7881532;86.47493;0.33834478;188.81406;0.60295314;-0.057910193;9.787911;0
1682615970494;-0.2040381;0.039782546;1.1026843;-2.99824;5.957735;2.902515;45.76996013;4.856315697;234.3305546;270.20337;11.710283;2.4651332;-0.035460833;-1.3878281;87.08757;0.4178226;188.77293;0.49825814;-0.07151318;9.793707;0
1682615970504;-0.20867532;0.043931648;1.1363652;-4.3632402;3.1577349;4.302515;45.76996013;4.856315697;234.3305546;270.20337;11.710283;2.5013485;-0.038005687;-1.3891857;87.27853;0.4413251;188.77469;0.46561313;-0.07553572;9.795281;0
1682615970514;-0.09713775;0.010006652;1.0704678;-4.25824;1.1277351;4.687515;45.76996013;4.856315697;234.3305546;270.20337;11.710283;3.0499153;-0.009309405;-1.4803009;87.32007;0.46416423;188.73753;0.45850983;-0.07944471;9.795592;0
1682615970524;-0.2709118;0.06321276;1.0624137;-3.55824;2.037735;4.267515;45.76996013;4.856315697;234.3305546;270.20337;11.710283;2.1450167;-0.057590522;-1.3211206;87.3444;0.4876357;188.68445;0.4543487;-0.08346191;9.795751;0
1682615970534;-0.49252254;-0.036853768;1.165409;-4.53824;1.0577351;5.842515;45.76996013;4.856315697;234.3305546;270.20337;11.710283;2.114809;0.029120343;-1.1709452;87.30626;0.4928209;188.62692;0.46086916;-0.08434936;9.795436;0
1682615970544;-0.042223193;-0.010494782;1.0084753;-3.59324;-3.317265;5.7725153;45.76996013;4.856315697;234.3305546;270.20337;11.710283;-2.9891698;0.010397099;-1.5289525;87.076645;0.4954105;188.53712;0.5001202;-0.08479258;9.793511;0
1682615970554;-0.0871311;0.059063654;0.96405554;-3.1732402;0.077735;6.017515;45.76996013;4.856315697;234.3305546;270.20337;11.710283;2.8817484;-0.060941566;-1.4806615;86.96417;0.50079155;188.42743;0.5193444;-0.08571356;9.792498;0
1682615970564;0.11568667;-0.0656534;0.9169511;-3.9082398;-0.587265;6.6475153;45.76996013;4.856315697;234.3305546;270.20337;11.710283;-2.450506;0.07091741;-1.6962978;86.836296;0.48252314;188.3172;0.5411996;-0.08258688;9.791344;0
1682615970574;0.17035717;-0.061260242;0.90743256;-2.99824;0.497735;6.402515;45.76996013;4.856315697;234.3305546;270.20337;11.710283;-2.2869136;0.066253185;-1.7563716;86.81862;0.5080976;188.23003;0.54421765;-0.086964;9.79113;0
1682615970584;0.060528047;-0.051985785;0.99431956;-3.2432399;2.562735;6.822515;45.76996013;4.856315697;234.3305546;270.20337;11.710283;-2.6170006;0.052138872;-1.6315951;86.83485;0.53570426;188.11685;0.5414421;-0.09168891;9.791243;0
1682615970594;0.10909692;-0.04612823;1.0243396;-2.99824;2.842735;6.717515;45.76996013;4.856315697;234.3305546;270.20337;11.710283;-2.456893;0.044749025;-1.676901;86.8648;0.5760969;188.00899;0.5363203;-0.09860212;9.791462;0
1682615970604;-0.2274683;0.061504304;1.0846236;-1.7732401;3.2627351;5.4575152;45.76996013;4.856315697;234.3305546;270.20337;11.710283;2.2542129;-0.05544144;-1.3640714;86.95832;0.6272258;187.90907;0.52033204;-0.10735278;9.792238;0
